task	cluster	jobid	state
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CHO/job_POSCAR_CHO_bridge_parallel	young-ng	3507	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CHO/job_POSCAR_CHO_bridge_vertical	young-ng	3508	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CHO/job_POSCAR_CHO_hollow_parallel	young-ng	3509	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CHO/job_POSCAR_CHO_hollow_vertical	young-ng	3510	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CHO/job_POSCAR_CHO_top_parallel	young-ng	3511	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CHO/job_POSCAR_CHO_top_vertical	young-ng	3512	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CO/job_POSCAR_CO_bridge_parallel	young-ng	3513	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CO/job_POSCAR_CO_bridge_vertical	young-ng	3514	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CO/job_POSCAR_CO_hollow_parallel	young-ng	3515	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CO/job_POSCAR_CO_hollow_vertical	young-ng	3516	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CO/job_POSCAR_CO_top_parallel	young-ng	3517	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_CO/job_POSCAR_CO_top_vertical	young-ng	3518	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_COOH/job_POSCAR_COOH_bridge_parallel	young-ng	3519	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_COOH/job_POSCAR_COOH_bridge_vertical	young-ng	3520	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_COOH/job_POSCAR_COOH_hollow_parallel	young-ng	3521	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_COOH/job_POSCAR_COOH_hollow_vertical	young-ng	3522	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_COOH/job_POSCAR_COOH_top_parallel	young-ng	3523	RUNNING
/home/ucaqzh0/thermol/precursor_generation/absorption/1_body/TEST/absorption_single_COOH/job_POSCAR_COOH_top_vertical	young-ng	3524	RUNNING
